City,Date,Card Type,Exp Type,Gender,Amount,description
"Ahmedabad, India",2013-12-10,Gold,Bills,F,892016,"Spent on Bills using Gold in Ahmedabad, India"
"Ahmedabad, India",2013-11-04,Platinum,Bills,F,313626,"Spent on Bills using Platinum in Ahmedabad, India"
"Greater Mumbai, India",2014-06-01,Gold,Bills,F,314366,"Spent on Bills using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2014-04-27,Signature,Bills,F,551340,"Spent on Bills using Signature in Greater Mumbai, India"
"Delhi, India",2013-10-04,Signature,Bills,F,735037,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2014-12-31,Platinum,Bills,F,574023,"Spent on Bills using Platinum in Greater Mumbai, India"
"Ahmedabad, India",2013-12-21,Signature,Bills,F,402300,"Spent on Bills using Signature in Ahmedabad, India"
"Delhi, India",2013-12-07,Signature,Bills,F,733125,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2014-02-07,Signature,Bills,F,545977,"Spent on Bills using Signature in Greater Mumbai, India"
"Bengaluru, India",2015-05-13,Silver,Bills,F,371572,"Spent on Bills using Silver in Bengaluru, India"
"Ahmedabad, India",2015-01-28,Signature,Bills,F,326283,"Spent on Bills using Signature in Ahmedabad, India"
"Delhi, India",2014-12-09,Platinum,Bills,F,279051,"Spent on Bills using Platinum in Delhi, India"
"Delhi, India",2013-10-08,Platinum,Bills,F,900101,"Spent on Bills using Platinum in Delhi, India"
"Ahmedabad, India",2014-04-24,Silver,Bills,F,545286,"Spent on Bills using Silver in Ahmedabad, India"
"Delhi, India",2015-01-13,Platinum,Bills,F,722587,"Spent on Bills using Platinum in Delhi, India"
"Bengaluru, India",2014-03-14,Platinum,Bills,F,411062,"Spent on Bills using Platinum in Bengaluru, India"
"Delhi, India",2014-02-27,Platinum,Bills,F,660910,"Spent on Bills using Platinum in Delhi, India"
"Greater Mumbai, India",2013-10-29,Signature,Bills,F,557370,"Spent on Bills using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2014-06-22,Platinum,Bills,F,549794,"Spent on Bills using Platinum in Greater Mumbai, India"
"Delhi, India",2014-01-23,Platinum,Bills,F,340133,"Spent on Bills using Platinum in Delhi, India"
"Bengaluru, India",2013-11-10,Gold,Bills,F,265417,"Spent on Bills using Gold in Bengaluru, India"
"Greater Mumbai, India",2013-12-13,Platinum,Bills,F,358185,"Spent on Bills using Platinum in Greater Mumbai, India"
"Greater Mumbai, India",2014-03-22,Gold,Bills,F,991685,"Spent on Bills using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2015-01-13,Gold,Bills,F,533762,"Spent on Bills using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2014-05-08,Gold,Bills,F,829742,"Spent on Bills using Gold in Greater Mumbai, India"
"Delhi, India",2014-02-18,Silver,Bills,F,441527,"Spent on Bills using Silver in Delhi, India"
"Delhi, India",2013-10-04,Signature,Bills,F,550782,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2014-06-14,Platinum,Bills,F,835872,"Spent on Bills using Platinum in Greater Mumbai, India"
"Ahmedabad, India",2014-08-24,Silver,Bills,F,540497,"Spent on Bills using Silver in Ahmedabad, India"
"Greater Mumbai, India",2015-04-02,Platinum,Bills,F,525977,"Spent on Bills using Platinum in Greater Mumbai, India"
"Greater Mumbai, India",2014-06-27,Gold,Bills,F,789393,"Spent on Bills using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2015-02-06,Platinum,Bills,F,689478,"Spent on Bills using Platinum in Greater Mumbai, India"
"Bengaluru, India",2014-03-29,Silver,Bills,F,499079,"Spent on Bills using Silver in Bengaluru, India"
"Ahmedabad, India",2014-04-22,Platinum,Bills,F,665107,"Spent on Bills using Platinum in Ahmedabad, India"
"Greater Mumbai, India",2014-10-14,Platinum,Bills,F,998077,"Spent on Bills using Platinum in Greater Mumbai, India"
"Ahmedabad, India",2014-02-02,Silver,Bills,F,934205,"Spent on Bills using Silver in Ahmedabad, India"
"Bengaluru, India",2015-04-01,Platinum,Bills,F,823426,"Spent on Bills using Platinum in Bengaluru, India"
"Ahmedabad, India",2015-01-13,Signature,Bills,F,282910,"Spent on Bills using Signature in Ahmedabad, India"
"Bengaluru, India",2014-03-27,Gold,Bills,F,418675,"Spent on Bills using Gold in Bengaluru, India"
"Ahmedabad, India",2015-02-17,Silver,Bills,F,804949,"Spent on Bills using Silver in Ahmedabad, India"
"Bengaluru, India",2015-02-10,Gold,Bills,F,686601,"Spent on Bills using Gold in Bengaluru, India"
"Greater Mumbai, India",2014-02-26,Silver,Bills,F,561220,"Spent on Bills using Silver in Greater Mumbai, India"
"Greater Mumbai, India",2015-05-07,Gold,Bills,F,762534,"Spent on Bills using Gold in Greater Mumbai, India"
"Bengaluru, India",2014-01-05,Gold,Bills,F,327947,"Spent on Bills using Gold in Bengaluru, India"
"Bengaluru, India",2014-04-07,Gold,Bills,F,492986,"Spent on Bills using Gold in Bengaluru, India"
"Delhi, India",2015-02-20,Signature,Bills,F,369237,"Spent on Bills using Signature in Delhi, India"
"Bengaluru, India",2015-01-19,Platinum,Bills,F,983839,"Spent on Bills using Platinum in Bengaluru, India"
"Ahmedabad, India",2014-11-14,Gold,Bills,F,776716,"Spent on Bills using Gold in Ahmedabad, India"
"Greater Mumbai, India",2014-07-21,Gold,Bills,F,664632,"Spent on Bills using Gold in Greater Mumbai, India"
"Bengaluru, India",2015-02-03,Gold,Bills,F,466727,"Spent on Bills using Gold in Bengaluru, India"
"Bengaluru, India",2013-11-01,Gold,Bills,F,896384,"Spent on Bills using Gold in Bengaluru, India"
"Delhi, India",2013-12-07,Signature,Bills,F,712001,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2014-08-05,Silver,Bills,F,246865,"Spent on Bills using Silver in Greater Mumbai, India"
"Greater Mumbai, India",2015-01-08,Signature,Bills,F,858729,"Spent on Bills using Signature in Greater Mumbai, India"
"Delhi, India",2015-04-11,Platinum,Bills,F,581882,"Spent on Bills using Platinum in Delhi, India"
"Greater Mumbai, India",2015-02-15,Signature,Bills,F,646426,"Spent on Bills using Signature in Greater Mumbai, India"
"Bengaluru, India",2015-03-24,Silver,Bills,F,687088,"Spent on Bills using Silver in Bengaluru, India"
"Bengaluru, India",2013-10-13,Signature,Bills,F,973026,"Spent on Bills using Signature in Bengaluru, India"
"Greater Mumbai, India",2015-04-24,Silver,Bills,F,944398,"Spent on Bills using Silver in Greater Mumbai, India"
"Ahmedabad, India",2014-11-09,Platinum,Bills,F,414422,"Spent on Bills using Platinum in Ahmedabad, India"
"Bengaluru, India",2015-02-04,Signature,Bills,F,408503,"Spent on Bills using Signature in Bengaluru, India"
"Bengaluru, India",2014-03-06,Signature,Bills,F,984466,"Spent on Bills using Signature in Bengaluru, India"
"Greater Mumbai, India",2014-03-27,Gold,Bills,F,919997,"Spent on Bills using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2013-11-13,Signature,Bills,F,535101,"Spent on Bills using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2013-10-22,Signature,Bills,F,978301,"Spent on Bills using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2014-09-27,Gold,Bills,F,880406,"Spent on Bills using Gold in Greater Mumbai, India"
"Ahmedabad, India",2014-11-14,Silver,Bills,F,447241,"Spent on Bills using Silver in Ahmedabad, India"
"Bengaluru, India",2013-10-21,Platinum,Bills,F,382191,"Spent on Bills using Platinum in Bengaluru, India"
"Bengaluru, India",2015-05-15,Silver,Bills,F,775859,"Spent on Bills using Silver in Bengaluru, India"
"Bengaluru, India",2014-03-21,Platinum,Bills,F,832637,"Spent on Bills using Platinum in Bengaluru, India"
"Bengaluru, India",2015-04-03,Platinum,Bills,F,458526,"Spent on Bills using Platinum in Bengaluru, India"
"Ahmedabad, India",2015-04-06,Signature,Bills,F,440995,"Spent on Bills using Signature in Ahmedabad, India"
"Ahmedabad, India",2013-11-05,Platinum,Bills,F,490128,"Spent on Bills using Platinum in Ahmedabad, India"
"Delhi, India",2013-10-07,Platinum,Bills,F,897079,"Spent on Bills using Platinum in Delhi, India"
"Delhi, India",2014-10-31,Gold,Bills,F,431948,"Spent on Bills using Gold in Delhi, India"
"Bengaluru, India",2014-04-03,Silver,Bills,F,228072,"Spent on Bills using Silver in Bengaluru, India"
"Delhi, India",2013-11-21,Gold,Bills,F,757649,"Spent on Bills using Gold in Delhi, India"
"Delhi, India",2014-05-11,Signature,Bills,F,919877,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2014-05-23,Gold,Bills,F,605615,"Spent on Bills using Gold in Greater Mumbai, India"
"Bengaluru, India",2015-05-22,Platinum,Bills,F,500852,"Spent on Bills using Platinum in Bengaluru, India"
"Greater Mumbai, India",2015-02-15,Signature,Bills,F,488136,"Spent on Bills using Signature in Greater Mumbai, India"
"Delhi, India",2014-06-16,Gold,Bills,F,937828,"Spent on Bills using Gold in Delhi, India"
"Delhi, India",2014-01-27,Gold,Bills,F,315873,"Spent on Bills using Gold in Delhi, India"
"Greater Mumbai, India",2015-05-20,Silver,Bills,F,567623,"Spent on Bills using Silver in Greater Mumbai, India"
"Greater Mumbai, India",2013-10-29,Platinum,Bills,F,555123,"Spent on Bills using Platinum in Greater Mumbai, India"
"Bengaluru, India",2014-04-20,Gold,Bills,F,498843,"Spent on Bills using Gold in Bengaluru, India"
"Greater Mumbai, India",2014-05-23,Silver,Bills,F,752610,"Spent on Bills using Silver in Greater Mumbai, India"
"Greater Mumbai, India",2015-03-11,Platinum,Bills,F,494540,"Spent on Bills using Platinum in Greater Mumbai, India"
"Delhi, India",2013-10-27,Gold,Bills,F,996754,"Spent on Bills using Gold in Delhi, India"
"Ahmedabad, India",2014-07-14,Signature,Bills,F,245572,"Spent on Bills using Signature in Ahmedabad, India"
"Delhi, India",2014-04-18,Gold,Bills,F,974384,"Spent on Bills using Gold in Delhi, India"
"Ahmedabad, India",2014-03-25,Silver,Bills,F,846635,"Spent on Bills using Silver in Ahmedabad, India"
"Ahmedabad, India",2014-09-01,Silver,Bills,F,635473,"Spent on Bills using Silver in Ahmedabad, India"
"Delhi, India",2015-03-23,Gold,Bills,F,224510,"Spent on Bills using Gold in Delhi, India"
"Delhi, India",2015-01-24,Silver,Bills,F,478671,"Spent on Bills using Silver in Delhi, India"
"Greater Mumbai, India",2013-10-04,Gold,Bills,F,990700,"Spent on Bills using Gold in Greater Mumbai, India"
"Delhi, India",2014-03-14,Gold,Bills,F,228565,"Spent on Bills using Gold in Delhi, India"
"Bengaluru, India",2014-01-03,Silver,Bills,F,297732,"Spent on Bills using Silver in Bengaluru, India"
"Greater Mumbai, India",2014-12-03,Signature,Bills,F,559262,"Spent on Bills using Signature in Greater Mumbai, India"
"Bengaluru, India",2014-07-01,Signature,Bills,F,809907,"Spent on Bills using Signature in Bengaluru, India"
"Ahmedabad, India",2014-08-21,Signature,Bills,F,428316,"Spent on Bills using Signature in Ahmedabad, India"
"Ahmedabad, India",2014-03-05,Signature,Bills,F,275065,"Spent on Bills using Signature in Ahmedabad, India"
"Bengaluru, India",2014-04-20,Silver,Bills,F,845653,"Spent on Bills using Silver in Bengaluru, India"
"Ahmedabad, India",2013-11-20,Signature,Bills,F,236296,"Spent on Bills using Signature in Ahmedabad, India"
"Bengaluru, India",2014-09-25,Signature,Bills,F,440572,"Spent on Bills using Signature in Bengaluru, India"
"Ahmedabad, India",2015-02-06,Gold,Bills,F,478115,"Spent on Bills using Gold in Ahmedabad, India"
"Bengaluru, India",2013-10-26,Gold,Bills,F,897621,"Spent on Bills using Gold in Bengaluru, India"
"Greater Mumbai, India",2015-05-06,Signature,Bills,F,554281,"Spent on Bills using Signature in Greater Mumbai, India"
"Delhi, India",2014-09-30,Silver,Bills,F,245452,"Spent on Bills using Silver in Delhi, India"
"Delhi, India",2014-01-17,Platinum,Bills,F,365045,"Spent on Bills using Platinum in Delhi, India"
"Greater Mumbai, India",2015-01-11,Gold,Bills,F,496047,"Spent on Bills using Gold in Greater Mumbai, India"
"Bengaluru, India",2015-02-11,Silver,Bills,F,466814,"Spent on Bills using Silver in Bengaluru, India"
"Bengaluru, India",2014-11-10,Gold,Bills,F,835177,"Spent on Bills using Gold in Bengaluru, India"
"Delhi, India",2015-01-12,Silver,Bills,F,219698,"Spent on Bills using Silver in Delhi, India"
"Bengaluru, India",2014-10-18,Silver,Bills,F,784541,"Spent on Bills using Silver in Bengaluru, India"
"Delhi, India",2013-10-25,Signature,Bills,F,576994,"Spent on Bills using Signature in Delhi, India"
"Bengaluru, India",2015-05-15,Gold,Bills,F,464663,"Spent on Bills using Gold in Bengaluru, India"
"Bengaluru, India",2014-05-03,Platinum,Bills,F,380270,"Spent on Bills using Platinum in Bengaluru, India"
"Ahmedabad, India",2014-10-02,Silver,Bills,F,772082,"Spent on Bills using Silver in Ahmedabad, India"
"Delhi, India",2015-04-09,Gold,Bills,F,230853,"Spent on Bills using Gold in Delhi, India"
"Bengaluru, India",2013-10-06,Signature,Bills,F,677654,"Spent on Bills using Signature in Bengaluru, India"
"Greater Mumbai, India",2014-02-05,Signature,Bills,F,929247,"Spent on Bills using Signature in Greater Mumbai, India"
"Ahmedabad, India",2015-04-09,Platinum,Bills,F,851374,"Spent on Bills using Platinum in Ahmedabad, India"
"Ahmedabad, India",2014-01-19,Platinum,Bills,F,637600,"Spent on Bills using Platinum in Ahmedabad, India"
"Greater Mumbai, India",2013-11-09,Platinum,Bills,F,681749,"Spent on Bills using Platinum in Greater Mumbai, India"
"Delhi, India",2014-03-25,Silver,Bills,F,847958,"Spent on Bills using Silver in Delhi, India"
"Greater Mumbai, India",2014-02-18,Gold,Bills,F,877569,"Spent on Bills using Gold in Greater Mumbai, India"
"Ahmedabad, India",2013-10-14,Platinum,Bills,F,450413,"Spent on Bills using Platinum in Ahmedabad, India"
"Bengaluru, India",2015-05-01,Signature,Bills,F,219041,"Spent on Bills using Signature in Bengaluru, India"
"Bengaluru, India",2014-12-31,Gold,Bills,F,866572,"Spent on Bills using Gold in Bengaluru, India"
"Greater Mumbai, India",2014-03-26,Signature,Bills,F,570791,"Spent on Bills using Signature in Greater Mumbai, India"
"Ahmedabad, India",2014-04-28,Silver,Bills,F,705464,"Spent on Bills using Silver in Ahmedabad, India"
"Greater Mumbai, India",2014-04-06,Signature,Bills,F,806821,"Spent on Bills using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2014-03-27,Platinum,Bills,F,515472,"Spent on Bills using Platinum in Greater Mumbai, India"
"Ahmedabad, India",2014-09-23,Silver,Bills,F,352207,"Spent on Bills using Silver in Ahmedabad, India"
"Ahmedabad, India",2015-03-04,Gold,Bills,F,342761,"Spent on Bills using Gold in Ahmedabad, India"
"Bengaluru, India",2014-02-27,Signature,Bills,F,249099,"Spent on Bills using Signature in Bengaluru, India"
"Ahmedabad, India",2014-08-27,Platinum,Bills,F,995634,"Spent on Bills using Platinum in Ahmedabad, India"
"Bengaluru, India",2014-12-12,Signature,Bills,F,435097,"Spent on Bills using Signature in Bengaluru, India"
"Ahmedabad, India",2014-06-16,Platinum,Bills,F,797815,"Spent on Bills using Platinum in Ahmedabad, India"
"Delhi, India",2014-01-02,Gold,Bills,F,326922,"Spent on Bills using Gold in Delhi, India"
"Bengaluru, India",2014-12-11,Gold,Bills,F,396241,"Spent on Bills using Gold in Bengaluru, India"
"Delhi, India",2014-12-14,Gold,Bills,F,486949,"Spent on Bills using Gold in Delhi, India"
"Greater Mumbai, India",2014-01-17,Gold,Bills,F,333483,"Spent on Bills using Gold in Greater Mumbai, India"
"Ahmedabad, India",2013-10-05,Platinum,Bills,F,612572,"Spent on Bills using Platinum in Ahmedabad, India"
"Bengaluru, India",2015-03-18,Silver,Bills,F,327244,"Spent on Bills using Silver in Bengaluru, India"
"Ahmedabad, India",2014-02-04,Silver,Bills,F,955468,"Spent on Bills using Silver in Ahmedabad, India"
"Greater Mumbai, India",2015-02-25,Gold,Bills,F,927864,"Spent on Bills using Gold in Greater Mumbai, India"
"Delhi, India",2014-03-28,Signature,Bills,F,555220,"Spent on Bills using Signature in Delhi, India"
"Delhi, India",2014-12-28,Silver,Bills,F,952640,"Spent on Bills using Silver in Delhi, India"
"Ahmedabad, India",2014-05-31,Silver,Bills,F,695749,"Spent on Bills using Silver in Ahmedabad, India"
"Greater Mumbai, India",2014-08-22,Platinum,Bills,F,365724,"Spent on Bills using Platinum in Greater Mumbai, India"
"Greater Mumbai, India",2015-03-03,Platinum,Bills,F,738108,"Spent on Bills using Platinum in Greater Mumbai, India"
"Ahmedabad, India",2015-01-17,Platinum,Bills,F,650785,"Spent on Bills using Platinum in Ahmedabad, India"
"Delhi, India",2014-10-23,Signature,Bills,F,611486,"Spent on Bills using Signature in Delhi, India"
"Bengaluru, India",2014-08-05,Platinum,Bills,F,965721,"Spent on Bills using Platinum in Bengaluru, India"
"Ahmedabad, India",2014-10-12,Gold,Bills,F,413052,"Spent on Bills using Gold in Ahmedabad, India"
"Ahmedabad, India",2014-01-22,Silver,Bills,F,584822,"Spent on Bills using Silver in Ahmedabad, India"
"Ahmedabad, India",2015-03-25,Gold,Bills,F,980146,"Spent on Bills using Gold in Ahmedabad, India"
"Ahmedabad, India",2014-10-10,Signature,Bills,F,926072,"Spent on Bills using Signature in Ahmedabad, India"
"Delhi, India",2014-04-16,Silver,Bills,F,482394,"Spent on Bills using Silver in Delhi, India"
"Bengaluru, India",2014-02-21,Signature,Bills,F,718346,"Spent on Bills using Signature in Bengaluru, India"
"Bengaluru, India",2014-04-24,Silver,Bills,F,491598,"Spent on Bills using Silver in Bengaluru, India"
"Delhi, India",2014-09-07,Platinum,Bills,F,848852,"Spent on Bills using Platinum in Delhi, India"
"Bengaluru, India",2014-12-28,Gold,Bills,F,396139,"Spent on Bills using Gold in Bengaluru, India"
"Ahmedabad, India",2014-10-13,Signature,Bills,F,856974,"Spent on Bills using Signature in Ahmedabad, India"
"Ahmedabad, India",2015-04-03,Signature,Bills,F,855990,"Spent on Bills using Signature in Ahmedabad, India"
"Delhi, India",2015-02-16,Signature,Bills,F,924776,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2014-04-03,Signature,Bills,F,204850,"Spent on Bills using Signature in Greater Mumbai, India"
"Delhi, India",2013-11-03,Platinum,Bills,F,780669,"Spent on Bills using Platinum in Delhi, India"
"Greater Mumbai, India",2014-04-17,Signature,Bills,F,887442,"Spent on Bills using Signature in Greater Mumbai, India"
"Delhi, India",2014-01-22,Signature,Bills,F,297820,"Spent on Bills using Signature in Delhi, India"
"Delhi, India",2015-03-14,Signature,Bills,F,687879,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2013-10-13,Silver,Bills,F,738456,"Spent on Bills using Silver in Greater Mumbai, India"
"Delhi, India",2014-08-24,Platinum,Bills,F,378535,"Spent on Bills using Platinum in Delhi, India"
"Greater Mumbai, India",2015-05-09,Silver,Bills,F,334116,"Spent on Bills using Silver in Greater Mumbai, India"
"Delhi, India",2014-06-07,Silver,Bills,F,772360,"Spent on Bills using Silver in Delhi, India"
"Ahmedabad, India",2014-11-26,Gold,Bills,F,580796,"Spent on Bills using Gold in Ahmedabad, India"
"Greater Mumbai, India",2014-10-21,Silver,Bills,F,855465,"Spent on Bills using Silver in Greater Mumbai, India"
"Greater Mumbai, India",2014-06-15,Gold,Bills,F,978989,"Spent on Bills using Gold in Greater Mumbai, India"
"Ahmedabad, India",2015-04-25,Gold,Bills,F,451874,"Spent on Bills using Gold in Ahmedabad, India"
"Ahmedabad, India",2014-09-07,Silver,Bills,F,670750,"Spent on Bills using Silver in Ahmedabad, India"
"Bengaluru, India",2015-05-19,Signature,Bills,F,977951,"Spent on Bills using Signature in Bengaluru, India"
"Delhi, India",2014-02-23,Platinum,Bills,F,403466,"Spent on Bills using Platinum in Delhi, India"
"Delhi, India",2013-10-28,Signature,Bills,F,861177,"Spent on Bills using Signature in Delhi, India"
"Ahmedabad, India",2014-12-17,Gold,Bills,F,528612,"Spent on Bills using Gold in Ahmedabad, India"
"Ahmedabad, India",2014-12-04,Signature,Bills,F,339670,"Spent on Bills using Signature in Ahmedabad, India"
"Delhi, India",2013-11-18,Signature,Bills,F,963751,"Spent on Bills using Signature in Delhi, India"
"Ahmedabad, India",2014-11-30,Gold,Bills,F,761930,"Spent on Bills using Gold in Ahmedabad, India"
"Ahmedabad, India",2014-08-21,Signature,Bills,F,852806,"Spent on Bills using Signature in Ahmedabad, India"
"Delhi, India",2014-05-25,Signature,Bills,F,207755,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2015-04-19,Gold,Bills,F,489540,"Spent on Bills using Gold in Greater Mumbai, India"
"Ahmedabad, India",2014-03-25,Silver,Bills,F,274395,"Spent on Bills using Silver in Ahmedabad, India"
"Bengaluru, India",2014-02-11,Platinum,Bills,F,566945,"Spent on Bills using Platinum in Bengaluru, India"
"Ahmedabad, India",2014-12-09,Gold,Bills,F,705690,"Spent on Bills using Gold in Ahmedabad, India"
"Bengaluru, India",2014-03-25,Gold,Bills,F,894888,"Spent on Bills using Gold in Bengaluru, India"
"Greater Mumbai, India",2014-01-02,Platinum,Bills,F,811899,"Spent on Bills using Platinum in Greater Mumbai, India"
"Greater Mumbai, India",2014-12-25,Silver,Bills,F,677645,"Spent on Bills using Silver in Greater Mumbai, India"
"Greater Mumbai, India",2014-10-16,Platinum,Bills,F,326162,"Spent on Bills using Platinum in Greater Mumbai, India"
"Delhi, India",2015-04-19,Platinum,Bills,F,316946,"Spent on Bills using Platinum in Delhi, India"
"Delhi, India",2014-01-20,Platinum,Bills,F,622373,"Spent on Bills using Platinum in Delhi, India"
"Bengaluru, India",2014-05-10,Signature,Bills,F,640653,"Spent on Bills using Signature in Bengaluru, India"
"Ahmedabad, India",2015-01-09,Signature,Bills,F,745493,"Spent on Bills using Signature in Ahmedabad, India"
"Delhi, India",2013-10-31,Gold,Bills,F,868021,"Spent on Bills using Gold in Delhi, India"
"Delhi, India",2014-11-28,Platinum,Bills,F,284923,"Spent on Bills using Platinum in Delhi, India"
"Bengaluru, India",2014-07-21,Platinum,Bills,F,814422,"Spent on Bills using Platinum in Bengaluru, India"
"Bengaluru, India",2015-04-22,Gold,Bills,F,599741,"Spent on Bills using Gold in Bengaluru, India"
"Ahmedabad, India",2014-06-10,Platinum,Bills,F,804560,"Spent on Bills using Platinum in Ahmedabad, India"
"Ahmedabad, India",2015-04-17,Gold,Bills,F,996291,"Spent on Bills using Gold in Ahmedabad, India"
"Ahmedabad, India",2013-11-09,Platinum,Bills,F,477553,"Spent on Bills using Platinum in Ahmedabad, India"
"Delhi, India",2015-01-02,Gold,Bills,F,216028,"Spent on Bills using Gold in Delhi, India"
